adresses;latitude;longitude
Guéliz, marrakech;31.6305935;-8.0171313
Av Mohammed VI, marrakech;31.5767822;-7.9846979
Autre secteur, marrakech;;
Route d'Amezmiz, marrakech;;
Hay Izdihar, marrakech;;
Ain Mezouar, marrakech;31.6271872;-8.036616
Hay Al Massar, marrakech;31.6741233;-8.0311389
Route de Tahanaoute, marrakech;;
Route de Casablanca, marrakech;31.6734269;-8.0049482
Hay Targa, marrakech;31.6349018;-8.051698180403491
Es Saada, marrakech;;
Route d'Ourika, marrakech;;
Annakhil, marrakech;31.6509445;-7.9592152
Massira 3, marrakech;31.6441587;-8.065229
Targa, marrakech;31.035205;-8.1430581
Route de Safi, marrakech;31.5280522;-9.6890348
Azzouzia, marrakech;31.6849361;-8.0619515
Hivernage, marrakech;31.6225589;-8.0083128
Daoudiate, marrakech;31.6539419;-7.993877862540515
Massira, marrakech;31.6280971;-8.0764608
Rouidat, marrakech;;
Amerchich, marrakech;31.6695899;-8.0044112
Route de Fès, marrakech;31.6482337;-7.9533238
Sidi Abbad, marrakech;31.654225;-8.0162102
Azli, marrakech;31.6233704;-8.0530254
Victor Hugo, marrakech;31.64144225;-8.023320742418779
Bouaakkaz, marrakech;31.5937554;-8.0211261
Palmeraie, marrakech;31.6747627;-7.982627
Route de Ouarzazate, marrakech;;
Les Portes de Marrakech, marrakech;31.6395279;-8.0775474
Route d'Agadir - Essaouira, marrakech;31.301278;-9.718806
Arset El Maach, marrakech;31.6188268;-7.9900445
Semlalia, marrakech;31.6450736;-8.014105194997034
Massira 1, marrakech;31.6441587;-8.065229
Centre Ville, marrakech;42.6911734;23.3120866
Route de Tamansourt, marrakech;;
Agdal, marrakech;31.592665150000002;-7.998968907464958
Bab Doukkala, marrakech;31.632227;-7.9970272
Amelkis, marrakech;;
Route de Sidi A. Ghiat, marrakech;;
Majorelle, marrakech;31.641476949999998;-8.002898365152998
Sidi Youssef Ben Ali, marrakech;31.6090052;-7.9679007
Av Abdelkrim El Khattabi, marrakech;;
Massira 2, marrakech;31.6342909;-8.067871
Sanaoubar, marrakech;31.6686216;-8.0280919
Hay Annahda, marrakech;;
Akioud, marrakech;31.0465469;-7.9496658
Hôpital Militaire, marrakech;31.6348612;-8.021651681342872
Hay Massira, marrakech;32.3103754;-9.2154349
Hay Andalous, marrakech;32.3176696;-9.2227357
Fassi, marrakech;31.657204;-8.0046364
Afaq, marrakech;31.6420615;-8.111834884506003
Route de Lalla Takerkoust, marrakech;;
Massar, marrakech;31.6741233;-8.0311389
Ben Saleh, marrakech;31.6303271;-7.9825949
Assif, marrakech;31.6543389;-8.0056702
Berrima, marrakech;31.6166864;-7.9803626
Bin Lkchali, marrakech;;
Hay Al Hassani, marrakech;31.6326621;-8.0451164
Ancienne Médina, marrakech;32.2988678;-9.2406558
Sakar, marrakech;31.659438;-8.0003914
Bab Atlas, marrakech;31.6600915;-7.9171412
Bd Moulay Abdellah, marrakech;31.6265848;-7.9919864
Sidi Abdellah Ghiat, marrakech;31.5106075;-7.833295678726914
Oued Tensift, marrakech;;
Sidi Mimoun, marrakech;31.6215749;-7.9929364
Riad Zitoun, marrakech;31.625746;-7.9862021
Sofia, marrakech;42.6911734;23.3120866
Bab Ghmat, marrakech;31.61945625;-7.974751942009526
Oued Ourika, marrakech;31.2021332;-7.7296196
Douar Laarab, marrakech;31.5017935;-9.6992597
Toute la ville, marrakech;;
Tilila, marrakech;31.6314243;-7.9970168
Cité Adrar, marrakech;;
Hay Salam, marrakech;32.9971401;-7.6191921
Route de Marrakech, marrakech;31.5173907;-9.6476591
Plage rose marae, marrakech;;
Al Boustane, marrakech;31.6624028;-8.0075965
Les Ambassadeurs, marrakech;31.6381465;-8.0176911
Oasis, marrakech;31.6376971;-8.0170914
Fès Médina, marrakech;34.0668289;-4.9648611
Mabella, marrakech;;
Polo, marrakech;;
Harhoura, marrakech;;
Centre, marrakech;42.6911734;23.3120866
Achakar, marrakech;;
Anfa, marrakech;33.5983015;-7.6213972
Hay Hassani, marrakech;31.6308031;-8.0447225
Hay Mohammadi, agadir;30.43183935;-9.554793111898238
Sonaba, agadir;30.3996557;-9.5878933
Hay Dakhla, agadir;30.4111874;-9.5567663
Haut-Founty, agadir;30.399291;-9.5784304
Hay Salam, agadir;33.8946777;-5.5626037
Cité Adrar, agadir;;
Centre Ville, agadir;34.6871445;-1.9133028
Ben Serguaou, agadir;;
Anza, agadir;30.4520064;-9.6590808
Zone Industrielle Agadir, agadir;30.3320486;-9.4920134
Tilila, agadir;30.3984274;-9.516003
Hay Qods, agadir;30.427588;-9.5565444
Autre secteur, agadir;;
Haut Anza, agadir;30.4550002;-9.6317217
El Houda, agadir;30.3992428;-9.5374739
Founty, agadir;30.3945833;-9.5931204
Al Wifaq, agadir;30.3929571;-9.5637186
Abattoirs, agadir;30.4135194;-9.585766113416945
Secteur Touristique, agadir;;
Talborjt, agadir;30.4237254;-9.5905693
Marina, agadir;44.4155628;8.8698442
Amicales, agadir;30.4313666;-9.5791672
Laazib, agadir;30.4151097;-9.5737535
Lekhiam, agadir;;
Taddart Anza, agadir;30.4629302;-9.6374425
Hay Massira, agadir;30.4219466;-9.5582105
Anoual Souss, agadir;30.41938065;-9.563677286561893
Riad Salam, agadir;33.8946777;-5.5626037
Amsernate, agadir;30.4152918;-9.5754482
Av Mokawama, agadir;;
Agadir Oufella, agadir;30.4244851;-9.6114672
Le centre-ville, agadir;;
Arghoud, agadir;;
Av des Far, agadir;;
Hay Najah, agadir;;
Bouargane, agadir;;
Najah, agadir;30.4286657;-9.5772618
Tamraght, agadir;30.5166306;-9.681203
Hay Al Farah, agadir;30.4031734;-9.5502882
Tassila, agadir;30.3828761;-9.511549
Extension Dakhla, agadir;30.4052274;-9.557644
Taddart, agadir;30.4583937;-9.6478334
Les Amicales, agadir;30.4313666;-9.5791672
Hay Al Wafaa, agadir;;
Boutchakat, agadir;;
Le bord de mer, agadir;;
Ihchach, agadir;30.4254499;-9.5842274
Charaf, agadir;30.4333735;-9.5893258
Anahda, agadir;;
Douar Laarab, agadir;30.32839165;-9.409119292866869
Toute la ville, agadir;;
Sidi Abdellah Ghiat, agadir;;
Route de Fès, agadir;;
Route de Ouarzazate, agadir;;
Ancienne Médina, agadir;31.513275399999998;-9.768817942892625
Route d'Ourika, agadir;;
Route de Marrakech, agadir;;
Plage rose marae, agadir;;
Agdal, agadir;30.3470223;-9.49331
Al Boustane, agadir;;
Les Ambassadeurs, agadir;;
Oasis, agadir;30.4228614;-9.6069114
Fès Médina, agadir;;
Mabella, agadir;;
Polo, agadir;;
Oued Tensift, agadir;;
Oued Ourika, agadir;31.2021332;-7.7296196
Guich Oudaya, agadir;;
Annakhil, agadir;;
Route de Tamansourt, agadir;;
Mers Sultan, agadir;;
Ville Nouvelle, agadir;31.5130446;-9.76958
Centre, agadir;3.8694153;11.5359314
Harhoura, agadir;;
Achakar, agadir;;
Anfa, agadir;33.5852684;-7.6199543
Hay Hassani, agadir;30.414876;-9.5839942
